component_id,lot_id,family,is_defective,mechanism,value_0h,value_24h,value_96h,value_168h
LOT_0000_0000,LOT_0000,DIGITAL_IC,0,NONE,15.698856884606492,12.9335346859286,7.120310098585684,7.441779960970551
LOT_0000_0001,LOT_0000,DIGITAL_IC,0,NONE,7.316833882729731,11.565886796480626,7.334776078057201,8.43021227688251
LOT_0000_0002,LOT_0000,DIGITAL_IC,0,NONE,6.709451186894899,14.299670323680761,15.528832269499233,12.324810247081416
LOT_0000_0003,LOT_0000,DIGITAL_IC,1,OFFSET_SHIFT,40.58958940132973,39.80819273041552,41.020668356058,37.791991759532934
LOT_0000_0004,LOT_0000,DIGITAL_IC,0,NONE,15.518240444069432,15.365369360881388,6.601104178238839,8.85071248508667
LOT_0000_0005,LOT_0000,DIGITAL_IC,0,NONE,11.136547535384864,13.930991257573433,15.736451533958837,8.997618346339571
LOT_0000_0006,LOT_0000,DIGITAL_IC,0,NONE,9.543843878985031,7.708519116196772,13.0479594176695,13.612285886294073
LOT_0000_0007,LOT_0000,DIGITAL_IC,0,NONE,7.632651173508556,11.106563466620452,16.305667872062,10.476700350305657
LOT_0000_0008,LOT_0000,DIGITAL_IC,0,NONE,8.04292062360032,15.718551798031939,10.803392112331247,13.655979782254137
LOT_0000_0009,LOT_0000,DIGITAL_IC,0,NONE,12.141613854671288,9.422599177597274,15.877017725737403,14.933850861157104
LOT_0000_0010,LOT_0000,DIGITAL_IC,0,NONE,10.3500492333573,7.169022371734189,14.11785198486844,8.491700688377138
LOT_0000_0011,LOT_0000,DIGITAL_IC,0,NONE,7.7412790873000565,14.790834691469625,8.004264857560388,7.997492193480584
LOT_0000_0012,LOT_0000,DIGITAL_IC,0,NONE,7.029196176042162,6.609325159792524,14.062639222848405,14.697338129159036
LOT_0000_0013,LOT_0000,DIGITAL_IC,0,NONE,7.52784206076944,8.376371962079764,8.826817680955001,9.668311135439764
LOT_0000_0014,LOT_0000,DIGITAL_IC,0,NONE,13.399907723896181,12.40152787299939,12.77665684195678,14.683073729397002
LOT_0000_0015,LOT_0000,DIGITAL_IC,1,INTERMITTENT_JUMP,10.536575833357867,11.612899275825445,8.819881621856117,16.03337038911165
LOT_0000_0016,LOT_0000,DIGITAL_IC,0,NONE,8.441460453468329,9.371217843884425,7.8367043059855455,16.175476668255257
LOT_0000_0017,LOT_0000,DIGITAL_IC,0,NONE,12.5789450925818,13.98736262342369,7.884562788277366,8.87656049249884
LOT_0000_0018,LOT_0000,DIGITAL_IC,0,NONE,8.39983326134367,8.493490137669275,10.379951464707776,6.933450395397884
LOT_0000_0019,LOT_0000,DIGITAL_IC,0,NONE,6.147470668273894,13.93663079375191,13.744775644743646,8.646480233598494
LOT_0000_0020,LOT_0000,DIGITAL_IC,1,EXCESSIVE_DRIFT,14.381826732536192,44.50836136248509,92.10700367753334,192.21229972645003
LOT_0000_0021,LOT_0000,DIGITAL_IC,0,NONE,13.720478171016248,8.531232723361459,8.034369131852518,9.497113031106151
LOT_0000_0022,LOT_0000,DIGITAL_IC,0,NONE,6.113193597849383,13.689775736620126,15.130550304321277,7.774006866910504
LOT_0000_0023,LOT_0000,DIGITAL_IC,0,NONE,11.950871321674649,13.790282205613034,11.044209534787262,14.651268927560306
LOT_0000_0024,LOT_0000,DIGITAL_IC,0,NONE,6.940498998007477,10.978544629348582,14.534541627980117,14.400087178511892
