component_id,lot_id,family,is_defective,mechanism,value_0h,value_24h,value_96h,value_168h
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0000,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,8.788814755427014,11.89856018249588,12.044569735059811,16.567208447401548
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0001,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,6.9762340854184846,10.883935218609018,15.454719731854858,16.94811819898605
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0002,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,5.043737560858466,9.852926641399288,15.321960329983089,16.373976576159748
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0003,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,9.535059096171956,13.27433802461554,11.194946891504399,18.267816083426734
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0004,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,9.230815821339679,13.928166665977274,16.56329585204287,18.121008082703057
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0005,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,11.872178603554007,8.555264685096807,11.766077018243926,14.912780824940414
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0006,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,7.359213333702159,6.337376591878977,12.747999047286237,16.31979686070518
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0007,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,9.044385514876112,11.279097845961116,12.519431621094883,9.480265316867392
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0008,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,14.876604749771944,13.013308695916116,18.279216273881143,10.642791844589318
STRESS_DELAYED_STEP_0.1_DIGITAL_IC_0009,STRESS_DELAYED_STEP_0.1_DIGITAL_IC,DIGITAL_IC,1,DELAYED_STEP,10.053232872051,8.430487864350095,13.255195666808618,13.35349391265203
